! Auto-generated by Reform.

MD5	fc65ad8d4588da92fd39871f6f7463db
Object 134	obj134_sign
Object 135	obj135_door
Object 136	obj136_peg
Object 137	obj137_Inside_Sod_Shack
Object 138	obj138_metal_strongbox
Object 139	obj139_stick_of_dynamite
Object 140	obj140_hole
Object 141	obj141_yellowish_fluid
Object 142	obj142_no_fuse
Object 143	obj143_Dusty_Road
Object 144	obj144_Boot_Hill
Object 145	obj145_grave
Object 146	obj146_grave_marker
Object 147	obj147_picket_fence
Object 148	obj148_pair_of_old_cowboy_boots
Object 149	obj149_soiled_note
Object 150	obj150_Tombstone_Jay
Object 151	obj151_Deadeye_Gulch
Object 152	obj152_sign
Object 153	obj153_Outside_Livery
Object 154	obj154_the_livery_door
Object 155	obj155_paint_splotches
Object 156	Color
Object 157	obj157_blue_paint
Object 158	obj158_red_paint
Object 159	obj159_yellow_paint
Object 160	obj160_orange_paint
Object 161	obj161_Livery_Stable
Object 162	obj162_ladder
Object 163	obj163_horse_stall
Object 164	obj164_shovel
Object 165	obj165_Hayloft
Object 166	obj166_pitchfork
Object 167	obj167_Corral
Object 168	obj168_tall_range_grass
Object 169	obj169_tin
Object 170	Balm_Class
Object 171	obj171_some_balm
Object 172	obj172_some_balm
Object 173	obj173_East_Main_Street
Object 174	obj174_Bank
Object 175	obj175_vault
Object 176	obj176_teller_windows
Object 177	obj177_window_bars
Object 178	obj178_pan
Object 179	obj179_hole
Object 180	obj180_gold_locket
Object 181	obj181_stick
Object 182	obj182_Vault
Object 183	obj183_coin_press
Object 184	obj184_impression
Object 185	obj185_lever
Object 186	obj186_table
Object 187	obj187_green_note
Object 188	obj188_General_Store
Object 189	obj189_breeze
Object 190	obj190_loose_floorboard
Object 191	obj191_shelves
Object 192	obj192_stack_of_gum_base
Object 193	obj193_box
Object 194	obj194_dozen_or_so_sugar_cubes
Object 195	obj195_square_of_gum_base
Object 196	obj196_cube_of_sugar
Object 197	obj197_screen_door
Object 198	obj198_piece_of_gauzy_cloth
Object 199	obj199_scraps_of_material
Object 200	obj200_Garden
Object 201	obj201_corn_stalk
Object 202	obj202_couple_kernels_of_corn
Object 203	obj203_Saloon
Object 204	obj204_table
Object 205	obj205_wall_length_mirror
Object 206	obj206_shards_of_glass
Object 207	obj207_writing
Object 208	obj208_bottle_of_whiskey
Object 209	obj209_cork
Object 210	obj210_label
Object 211	obj211_whiskey
Object 212	obj212_Storage_Room
Object 213	obj213_knife
Object 214	obj214_Saloon
Object 215	obj215_table
Object 216	obj216_John_Bro
Object 217	obj217_dance_hall_girls
Object 218	obj218_patrons
Object 219	obj219_shotgun
Object 220	obj220_wall_length_mirror
Object 221	obj221_derringer
Object 222	obj222_Black_Thad_McGee
Object 223	obj223_slot_machine
Object 224	obj224_coin_slot
Object 225	obj225_coin
Object 226	obj226_first_thumbwheel
Object 227	obj227_second_wheel
Object 228	obj228_third_wheel
Object 229	obj229_fourth_wheel
Object 230	obj230_fifth_wheel
Object 231	obj231_all_of_the_wheels
Object 232	obj232_lever
Object 233	obj233_tray
Object 234	obj234_tumblers
Object 235	obj235_West_Main_Street
Object 236	obj236_jail_door
Object 237	obj237_Jail
Object 238	obj238_iron_bar
Object 239	obj239_Unattended_Trees
Object 240	obj240_tree
Object 241	obj241_Tree_Top
Object 242	obj242_nest
Object 243	obj243_crumpled_note
Object 244	Matchstick
Object 245	obj245_match
Object 246	obj246_match
Object 247	obj247_Fork_in_the_Road
Object 248	obj248_silver_spoon
Object 249	obj249_Road_to_HerringVille
Object 250	obj250_sign
Object 251	obj251_On_the_Road_to_HerringVille
Object 252	obj252_Badlands
Object 253	obj253_In_Debris_Room
Object 254	obj254_debris
Object 255	obj255_note
Object 256	obj256_black_rod
Object 257	obj257_Bottom_of_Crow_Hill
Object 258	obj258_sign
Object 259	obj259_Top_of_Crow_Hill
Object 260	obj260_Burned_Down_Shack
Object 261	obj261_factory
Object 262	obj262_ashes
Object 263	obj263_odd_shaped_sign
Object 264	obj264_leather_bound_book
Object 265	obj265_cauldron
Object 266	obj266_some_metallic_flakes
Object 267	obj267_orange_gumball
Object 268	obj268_little_gnome
Object 269	obj269_brass_key
Object 270	obj270_burned_sketch
Object 271	obj271_Over_the_Hill
Object 272	obj272_footprints
Object 273	obj273_Cactus_Patch
Object 274	obj274_Outside_Mine_Entrance
Object 275	obj275_ore_car
Object 276	obj276_rope
Object 277	obj277_header
Object 278	obj278_sign
Object 279	obj279_timber
Object 280	Mine
Object 281	obj281_breeze
Object 282	obj282_Mine_Shaft
Object 283	obj283_lantern
Object 284	obj284_Mine_Shaft
Object 285	obj285_Mine_Shaft
Object 286	obj286_Mine_Shaft
Object 287	obj287_Mine_Shaft
Object 288	obj288_Mine_Shaft
Object 289	obj289_Mine_Shaft
Object 290	obj290_Mine_Shaft
Object 291	obj291_Mine_Shaft
Object 292	obj292_Mine_Shaft
Object 293	obj293_Mine_Shaft
Object 294	obj294_Mine_Shaft
Object 295	obj295_Mine_Shaft
Object 296	obj296_Mine_Shaft
Object 297	obj297_Mine_Shaft
Object 298	obj298_Mine_Shaft
Object 299	obj299_Dead_End
Object 300	obj300_Mine_Shaft
Object 301	obj301_Dead_End
Object 302	obj302_chute
Object 303	obj303_Mine_Shaft
Object 304	obj304_crack
Object 305	obj305_blue_stone
Object 306	obj306_Mine_Shaft
Object 307	obj307_Mine_Shaft
Object 308	obj308_Vent_Room
Object 309	obj309_vent_hole
Object 310	obj310_accordion
Object 311	obj311_small_rock
Object 312	obj312_letters_on_rock
Object 313	obj313_Oil_Patch
Object 314	obj314_sign
Object 315	obj315_derrick
Object 316	obj316_Platform__On_the_Derrick
Object 317	obj317_droppings
Object 318	obj318_rusted_oil_can
Object 319	obj319_Tombstone_Jay
Object 320	obj320_Just_Off_the_Ground__On_the_Derrick
Object 321	obj321_About_Half_Way_Up__On_the_Derrick
Object 322	obj322_nail
Object 323	obj323_ship_wheel
Object 324	obj324_plaque
Object 325	obj325_Almost_to_the_Top__On_the_Derrick
Object 326	obj326_candle
Object 327	obj327_wick
Object 328	obj328_Dry_Streambed
Object 329	obj329_gatewoods
Object 330	obj330_Rotted_Tree
Object 331	obj331_gatewood
Object 332	obj332_message
Object 333	obj333_Outside_Old_Shack
Object 334	obj334_door
Object 335	obj335_Biscuit_Residence
Object 336	obj336_Biscuit_Brothers
Object 337	obj337_huge_guns
Object 338	obj338_table
Object 339	obj339_wood_stove
Object 340	obj340_grille
Object 341	obj341_flue
Object 342	obj342_lever
Object 343	obj343_smoke
Object 344	obj344_cutout
Object 345	obj345_cover
Object 346	obj346_Cellar_Rats
Object 347	obj347_Root_Cellar
Object 348	obj348_ladder
Object 349	obj349_gunny_sack
Object 350	obj350_red_potato
Object 351	obj351_green_apple
Object 352	obj352_horse
Object 353	obj353_blanket
Object 354	obj354_pair_of_saddlebags
Object 355	obj355_hitching_post
Object 356	obj356_Blind_Canyon
Object 357	obj357_Black_Thad_McGee
Object 358	obj358_ending
Object 359	obj359_On_the_Floor

Attribute 0	animate			! obj20__self_object_ obj31_little_gnome obj44_black_cat obj45_Mark obj93_bees obj117_brown_bear obj131_rattlesnakes obj150_Tombstone_Jay obj216_John_Bro obj217_dance_hall_girls obj222_Black_Thad_McGee obj268_little_gnome obj319_Tombstone_Jay obj336_Biscuit_Brothers obj352_horse obj357_Black_Thad_McGee
Attribute 2	clothing		! obj25_gold_watch obj26_gold_watch obj58_pair_of_garden_gloves obj148_pair_of_old_cowboy_boots Balm_Class obj171_some_balm obj172_some_balm obj180_gold_locket
Attribute 3	concealed		! obj6_compass obj20__self_object_ obj61_mirror obj103_water obj146_grave_marker obj179_hole obj197_screen_door obj202_couple_kernels_of_corn obj207_writing
Attribute 4	container		! obj51_closet obj57_drawer obj64_beat_up_old_bag obj65_ornate_box obj74_shower obj116_pile_of_rocks obj123_handcar obj138_metal_strongbox obj163_horse_stall obj168_tall_range_grass obj169_tin obj178_pan obj180_gold_locket obj184_impression obj186_table obj193_box obj201_corn_stalk obj224_coin_slot obj233_tray obj242_nest obj265_cauldron obj275_ore_car obj304_crack obj349_gunny_sack obj354_pair_of_saddlebags
Attribute 5	door			! obj32_Kati_s_bedroom_door obj60_door_to_the_closet obj66_secret_trap_door obj73_shower_curtain obj135_door obj154_the_livery_door obj236_jail_door obj334_door
Attribute 6	edible			! obj100_small_bunch_of_berries obj196_cube_of_sugar obj202_couple_kernels_of_corn
Attribute 7	enterable		! obj37_bed obj40_bench obj51_closet obj54_bed obj97_wet_rock obj123_handcar obj163_horse_stall obj275_ore_car obj352_horse
Attribute 9	light			! obj24_On_the_Floor obj28_Upstairs_Hallway obj35_Mark_s_Room obj47_Kati_s_Room obj51_closet obj53_Master_Bedroom obj59_Master_Bathroom obj62_Master_Closet obj67_Secret_Cellar obj69_Kids__Bathroom obj76_Empty_Room obj78_Inside_Somewhere obj89_Clearing obj94_Shady_Path obj96_Beaver_Dam obj101_Trail obj102_Clear_Creek obj107_Trail obj108_Trail obj111_End_of_the_Trail obj114_Box_Canyon obj115_Hole_in_the_Wall obj118_Blind_Canyon obj119_Track_Crossing obj120_Train_Track obj126_Broken_Bridge obj127_Broken_Track obj130_Narrow_Ravine obj132_End_of_the_Line obj137_Inside_Sod_Shack obj143_Dusty_Road obj144_Boot_Hill obj151_Deadeye_Gulch obj153_Outside_Livery obj161_Livery_Stable obj165_Hayloft obj167_Corral obj173_East_Main_Street obj174_Bank obj182_Vault obj188_General_Store obj200_Garden obj203_Saloon obj212_Storage_Room obj214_Saloon obj235_West_Main_Street obj237_Jail obj239_Unattended_Trees obj241_Tree_Top obj247_Fork_in_the_Road obj249_Road_to_HerringVille obj251_On_the_Road_to_HerringVille obj252_Badlands obj253_In_Debris_Room obj257_Bottom_of_Crow_Hill obj259_Top_of_Crow_Hill obj260_Burned_Down_Shack obj271_Over_the_Hill obj273_Cactus_Patch obj274_Outside_Mine_Entrance obj282_Mine_Shaft obj308_Vent_Room obj313_Oil_Patch obj316_Platform__On_the_Derrick obj320_Just_Off_the_Ground__On_the_Derrick obj321_About_Half_Way_Up__On_the_Derrick obj325_Almost_to_the_Top__On_the_Derrick obj328_Dry_Streambed obj330_Rotted_Tree obj333_Outside_Old_Shack obj335_Biscuit_Residence obj347_Root_Cellar obj356_Blind_Canyon obj359_On_the_Floor
Attribute 10	lockable		! obj32_Kati_s_bedroom_door obj65_ornate_box obj138_metal_strongbox obj154_the_livery_door obj236_jail_door
Attribute 11	locked			! obj32_Kati_s_bedroom_door obj65_ornate_box obj135_door obj138_metal_strongbox obj154_the_livery_door obj236_jail_door
Attribute 14	open			! obj74_shower obj116_pile_of_rocks obj123_handcar obj163_horse_stall obj168_tall_range_grass obj178_pan obj184_impression obj186_table obj201_corn_stalk obj224_coin_slot obj233_tray obj242_nest obj265_cauldron obj275_ore_car obj304_crack
Attribute 15	openable		! obj32_Kati_s_bedroom_door obj51_closet obj57_drawer obj60_door_to_the_closet obj64_beat_up_old_bag obj65_ornate_box obj66_secret_trap_door obj73_shower_curtain obj135_door obj138_metal_strongbox obj154_the_livery_door obj169_tin obj180_gold_locket obj193_box obj236_jail_door obj334_door obj349_gunny_sack obj354_pair_of_saddlebags
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj32_Kati_s_bedroom_door obj45_Mark obj70_towels obj71_toys obj72_some_water_on_the_floor obj105_some_brown_slurry obj154_the_livery_door Balm_Class obj171_some_balm obj172_some_balm obj206_shards_of_glass obj222_Black_Thad_McGee obj231_all_of_the_wheels obj266_some_metallic_flakes obj357_Black_Thad_McGee
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj27__Not_Watch_ obj32_Kati_s_bedroom_door obj33_door_ledge obj36_clothes obj37_bed obj38_toys obj39_food obj48_mountain_of_clothing obj50_label obj51_closet obj54_bed obj55_magazine obj56_wooden_dresser obj57_drawer obj63_stuff obj69_Kids__Bathroom obj70_towels obj71_toys obj72_some_water_on_the_floor obj78_Inside_Somewhere obj79_door obj80_cauldrons obj81_books obj82_dusty_book obj83_equipment obj84_pencil_sketches obj85_table obj87_dust obj90_pine obj91_boulder obj92_wildflowers obj93_bees obj95_shady_oaks obj98_gnats obj99_chokecherry_bushes obj101_Trail obj102_Clear_Creek obj104_magnetite obj107_Trail obj108_Trail obj110_sagebrush obj112_weeping_willow_tree obj113_sign obj115_Hole_in_the_Wall obj116_pile_of_rocks obj118_Blind_Canyon obj119_Track_Crossing obj120_Train_Track obj122_reddish_thing obj124_lever obj125_handle obj126_Broken_Bridge obj129_gap_in_track obj132_End_of_the_Line obj133_Sod_Shack obj134_sign obj135_door obj136_peg obj137_Inside_Sod_Shack obj140_hole obj141_yellowish_fluid obj142_no_fuse obj143_Dusty_Road obj144_Boot_Hill obj145_grave obj147_picket_fence obj151_Deadeye_Gulch obj152_sign obj153_Outside_Livery obj154_the_livery_door obj155_paint_splotches Color obj157_blue_paint obj158_red_paint obj159_yellow_paint obj160_orange_paint obj161_Livery_Stable obj162_ladder obj163_horse_stall obj165_Hayloft obj167_Corral obj168_tall_range_grass obj174_Bank obj175_vault obj176_teller_windows obj177_window_bars obj182_Vault obj183_coin_press obj184_impression obj185_lever obj186_table obj188_General_Store obj189_breeze obj191_shelves obj199_scraps_of_material obj200_Garden obj201_corn_stalk obj203_Saloon obj205_wall_length_mirror obj212_Storage_Room obj214_Saloon obj216_John_Bro obj217_dance_hall_girls obj218_patrons obj219_shotgun obj220_wall_length_mirror obj224_coin_slot obj226_first_thumbwheel obj227_second_wheel obj228_third_wheel obj229_fourth_wheel obj230_fifth_wheel obj231_all_of_the_wheels obj232_lever obj234_tumblers obj235_West_Main_Street obj236_jail_door obj237_Jail obj239_Unattended_Trees obj240_tree obj241_Tree_Top obj242_nest obj247_Fork_in_the_Road obj249_Road_to_HerringVille obj250_sign obj251_On_the_Road_to_HerringVille obj252_Badlands obj253_In_Debris_Room obj254_debris obj255_note obj257_Bottom_of_Crow_Hill obj258_sign obj259_Top_of_Crow_Hill obj260_Burned_Down_Shack obj261_factory obj262_ashes obj263_odd_shaped_sign obj271_Over_the_Hill obj272_footprints obj274_Outside_Mine_Entrance obj276_rope obj277_header obj278_sign obj279_timber Mine obj281_breeze obj284_Mine_Shaft obj285_Mine_Shaft obj286_Mine_Shaft obj287_Mine_Shaft obj288_Mine_Shaft obj289_Mine_Shaft obj290_Mine_Shaft obj291_Mine_Shaft obj292_Mine_Shaft obj293_Mine_Shaft obj294_Mine_Shaft obj295_Mine_Shaft obj296_Mine_Shaft obj297_Mine_Shaft obj298_Mine_Shaft obj299_Dead_End obj300_Mine_Shaft obj301_Dead_End obj302_chute obj303_Mine_Shaft obj304_crack obj306_Mine_Shaft obj307_Mine_Shaft obj308_Vent_Room obj309_vent_hole obj312_letters_on_rock obj313_Oil_Patch obj314_sign obj315_derrick obj316_Platform__On_the_Derrick obj317_droppings obj319_Tombstone_Jay obj320_Just_Off_the_Ground__On_the_Derrick obj321_About_Half_Way_Up__On_the_Derrick obj324_plaque obj325_Almost_to_the_Top__On_the_Derrick obj327_wick obj328_Dry_Streambed obj329_gatewoods obj331_gatewood obj332_message obj334_door obj335_Biscuit_Residence obj337_huge_guns obj338_table obj339_wood_stove obj340_grille obj341_flue obj342_lever obj343_smoke obj344_cutout obj345_cover obj346_Cellar_Rats obj347_Root_Cellar obj348_ladder obj349_gunny_sack obj355_hitching_post obj356_Blind_Canyon
Attribute 18	scored			! obj41_wad_of_gooey_gum obj47_Kati_s_Room obj75_bar_of_soap obj148_pair_of_old_cowboy_boots obj169_tin obj238_iron_bar obj273_Cactus_Patch obj311_small_rock
Attribute 19	static			! obj45_Mark obj60_door_to_the_closet obj61_mirror obj66_secret_trap_door obj73_shower_curtain obj74_shower obj89_Clearing obj94_Shady_Path obj96_Beaver_Dam obj97_wet_rock obj103_water obj111_End_of_the_Trail obj114_Box_Canyon obj121_tumbleweed obj123_handcar obj127_Broken_Track obj128_rail obj130_Narrow_Ravine obj146_grave_marker obj173_East_Main_Street obj179_hole obj190_loose_floorboard obj192_stack_of_gum_base obj194_dozen_or_so_sugar_cubes obj197_screen_door obj204_table obj207_writing obj210_label obj215_table obj223_slot_machine obj233_tray obj256_black_rod obj275_ore_car obj322_nail obj330_Rotted_Tree obj333_Outside_Old_Shack
Attribute 20	supporter		! obj33_door_ledge obj37_bed obj40_bench obj85_table obj97_wet_rock obj99_chokecherry_bushes obj136_peg obj181_stick obj186_table obj191_shelves obj204_table obj215_table obj322_nail obj338_table obj344_cutout obj345_cover obj352_horse
Attribute 23	transparent		! obj20__self_object_ obj31_little_gnome obj49_blue_ice_pack obj139_stick_of_dynamite obj197_screen_door obj208_bottle_of_whiskey obj311_small_rock obj323_ship_wheel obj326_candle obj331_gatewood
Attribute 34	windy			! obj275_ore_car Mine obj282_Mine_Shaft obj284_Mine_Shaft obj285_Mine_Shaft obj286_Mine_Shaft obj287_Mine_Shaft obj288_Mine_Shaft obj289_Mine_Shaft obj290_Mine_Shaft obj291_Mine_Shaft obj292_Mine_Shaft obj293_Mine_Shaft obj294_Mine_Shaft obj295_Mine_Shaft obj296_Mine_Shaft obj297_Mine_Shaft obj298_Mine_Shaft obj299_Dead_End obj300_Mine_Shaft obj301_Dead_End obj303_Mine_Shaft obj306_Mine_Shaft obj307_Mine_Shaft obj308_Vent_Room
Attribute 35	town			! obj151_Deadeye_Gulch obj153_Outside_Livery obj161_Livery_Stable obj163_horse_stall obj165_Hayloft obj167_Corral obj173_East_Main_Street obj174_Bank obj182_Vault obj188_General_Store obj200_Garden obj203_Saloon obj212_Storage_Room obj214_Saloon obj235_West_Main_Street
Attribute 36	rockable		! obj114_Box_Canyon obj271_Over_the_Hill obj282_Mine_Shaft

Property 1	name:dictwords
Property 2	prop2:?
Property 4	before:?
Property 5	after:?
Property 6	life:?
Property 7	n_to:?
Property 8	s_to:?
Property 9	e_to:?
Property 10	w_to:?
Property 11	ne_to:thing
Property 12	se_to:?
Property 13	nw_to:?
Property 14	sw_to:thing
Property 15	u_to:?
Property 16	d_to:?
Property 18	out_to:?
Property 19	door_to:thing
Property 20	with_key:?
Property 21	door_dir:?
Property 23	plural:string
Property 29	orders:?
Property 30	initial:thing
Property 31	when_open:string
Property 32	when_closed:string
Property 35	description:?
Property 36	describe:string
Property 37	article:string
Property 38	cant_go:?
Property 39	found_in:?
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:string
Property 43	daemon:?
Property 44	each_turn:?
Property 45	capacity:?
Property 46	short_name:?
Property 48	parse_name:?
Property 51	state:?
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
