! Auto-generated by Reform.

MD5	4c48ba2c5523d78c5f7f9b7809d16b1d
Object 97	obj97_Mr__Alltext
Object 98	obj98_Jim_Hastely
Object 99	obj99_Mr__McDell
Object 100	obj100_tall_woman
Object 101	obj101_Principal_Drenaline
Object 102	obj102_school
Object 103	obj103_book
Object 104	obj104_envelope
Object 105	obj105_hall_monitor_s_badge
Object 106	obj106_candygram
Object 107	obj107_candygram
Object 108	obj108_candygram
Object 109	obj109_candygram
Object 110	obj110_candygram
Object 111	obj111_candygram
Object 112	obj112_candygram
Object 113	obj113_candygram
Object 114	obj114_candygram
Object 115	obj115_candygram
Object 116	obj116_candygram
Object 117	obj117_The_Cafe
Object 118	obj118_Enterprise_Closet
Object 119	obj119__closet_door_
Object 120	obj120_key
Object 121	obj121_scroll
Object 122	obj122_list
Object 123	obj123_The_Enterprise_Closet
Object 124	obj124_plaque
Object 125	obj125_shelf
Object 126	obj126_soft_drinks
Object 127	obj127_pastoral_mural
Object 128	obj128_lion
Object 129	obj129_The_Faculty_Dining_Room
Object 130	obj130__fac_door_
Object 131	obj131_Outside_Faculty_Dining_Room
Object 132	obj132_East_of_School
Object 133	obj133_Outside_Front_Entrance
Object 134	obj134_front_entrance
Object 135	obj135_front_entrance
Object 136	obj136_North_South_Hall__North_End
Object 137	obj137__room_8_door_
Object 138	obj138_Ms__Empirious__Room
Object 139	obj139_Mr__Pisces__Room
Object 140	obj140_Room_8
Object 141	obj141_jar
Object 142	obj142_aquarium
Object 143	obj143_Room_7
Object 144	obj144_Hall_Near_Room_7
Object 145	obj145_mobiles
Object 146	obj146_Hall_Near_Office
Object 147	obj147_poster
Object 148	obj148_Office
Object 149	obj149_counter
Object 150	obj150_pass
Object 151	obj151_Hall_Near_Room_10
Object 152	obj152_flowers
Object 153	obj153_Hall_Near_Room_11
Object 154	obj154_Room_10
Object 155	obj155_Room_10
Object 156	obj156_Room_11
Object 157	obj157_Room_11
Object 158	obj158_whiteboard
Object 159	obj159_North_South_Hall__Mid_Way
Object 160	obj160_Room_6
Object 161	obj161_Room_6
Object 162	obj162_poster
Object 163	obj163_verse_riddle
Object 164	obj164_firefly
Object 165	obj165_Ms__Garrulous__Room
Object 166	obj166_Mr__McDell_s_Room
Object 167	obj167_Hall_Near_Room_2
Object 168	obj168_locker
Object 169	obj169_display
Object 170	obj170_North_South_Hall__South_End
Object 171	obj171_bulletin_board
Object 172	obj172_basket
Object 173	obj173_Room_4
Object 174	obj174_cake
Object 175	obj175__120
Object 176	obj176_posters
Object 177	obj177_refrigerator
Object 178	obj178_pictures
Object 179	obj179__Room_4_door_
Object 180	obj180_Room_2
Object 181	obj181_mural
Object 182	obj182_costume_box
Object 183	obj183_costumes

Attribute 0	animate			! obj20__self_object_ Character NPC obj77_kids obj78_Ms__Empirious obj79_Ed_Dibbles obj80_Ms__Reunite obj81_Ms__Picasso obj82_rat obj83_Silas_Gibber obj84_Ms__Garrulous obj85_Danielle_DeJonses obj86_Ms__Fuerstein obj87_Andrea obj88_Joanie obj89_boy obj90_Alexis obj91_Stephanie obj92_Alicia_Aronstein obj93_Queenie obj94_Judy obj95_Mr__Pisces obj96_Meghan_Mascaras obj97_Mr__Alltext obj98_Jim_Hastely obj99_Mr__McDell obj100_tall_woman obj101_Principal_Drenaline
Attribute 2	clothing		! obj72_pocket obj104_envelope obj105_hall_monitor_s_badge
Attribute 3	concealed		! obj6_compass obj20__self_object_
Attribute 4	container		! obj72_pocket obj104_envelope obj142_aquarium obj168_locker obj172_basket obj182_costume_box
Attribute 5	door			! obj119__closet_door_ obj130__fac_door_ obj137__room_8_door_ obj179__Room_4_door_
Attribute 9	light			! obj29_Room obj117_The_Cafe obj123_The_Enterprise_Closet obj129_The_Faculty_Dining_Room obj131_Outside_Faculty_Dining_Room obj132_East_of_School obj133_Outside_Front_Entrance obj136_North_South_Hall__North_End obj140_Room_8 obj143_Room_7 obj144_Hall_Near_Room_7 obj146_Hall_Near_Office obj148_Office obj151_Hall_Near_Room_10 obj153_Hall_Near_Room_11 obj154_Room_10 obj157_Room_11 obj159_North_South_Hall__Mid_Way obj161_Room_6 obj167_Hall_Near_Room_2 obj170_North_South_Hall__South_End obj173_Room_4 obj180_Room_2
Attribute 11	locked			! LineGap obj67__67_ obj168_locker
Attribute 14	open			! obj72_pocket obj104_envelope obj142_aquarium obj172_basket obj182_costume_box
Attribute 15	openable		! obj119__closet_door_ obj130__fac_door_ obj134_front_entrance obj135_front_entrance obj137__room_8_door_ obj168_locker obj179__Room_4_door_
Attribute 16	proper			! obj20__self_object_ obj21__Inform_Parser_ obj22__Inform_Library_ obj78_Ms__Empirious obj79_Ed_Dibbles obj80_Ms__Reunite obj81_Ms__Picasso obj83_Silas_Gibber obj84_Ms__Garrulous obj85_Danielle_DeJonses obj86_Ms__Fuerstein obj87_Andrea obj88_Joanie obj90_Alexis obj91_Stephanie obj92_Alicia_Aronstein obj93_Queenie obj94_Judy obj95_Mr__Pisces obj96_Meghan_Mascaras obj97_Mr__Alltext obj98_Jim_Hastely obj99_Mr__McDell obj101_Principal_Drenaline obj138_Ms__Empirious__Room obj139_Mr__Pisces__Room obj155_Room_10 obj156_Room_11 obj160_Room_6 obj165_Ms__Garrulous__Room obj166_Mr__McDell_s_Room
Attribute 17	scenery			! CompassDirection obj7_north_wall obj8_south_wall obj9_east_wall obj10_west_wall obj11_northeast_wall obj12_northwest_wall obj13_southeast_wall obj14_southwest_wall obj15_ceiling obj16_floor obj17_outside obj18_inside obj77_kids obj89_boy obj102_school obj118_Enterprise_Closet obj119__closet_door_ obj124_plaque obj125_shelf obj128_lion obj130__fac_door_ obj134_front_entrance obj135_front_entrance obj137__room_8_door_ obj138_Ms__Empirious__Room obj139_Mr__Pisces__Room obj145_mobiles obj147_poster obj149_counter obj152_flowers obj155_Room_10 obj156_Room_11 obj160_Room_6 obj162_poster obj165_Ms__Garrulous__Room obj166_Mr__McDell_s_Room obj168_locker obj169_display obj171_bulletin_board obj176_posters obj177_refrigerator obj178_pictures obj179__Room_4_door_
Attribute 18	scored			! obj104_envelope obj140_Room_8 obj150_pass
Attribute 19	static			! Furniture obj124_plaque obj125_shelf obj126_soft_drinks obj127_pastoral_mural obj128_lion obj138_Ms__Empirious__Room obj139_Mr__Pisces__Room obj142_aquarium obj143_Room_7 obj144_Hall_Near_Room_7 obj145_mobiles obj147_poster obj149_counter obj152_flowers obj155_Room_10 obj156_Room_11 obj158_whiteboard obj160_Room_6 obj162_poster obj163_verse_riddle obj165_Ms__Garrulous__Room obj166_Mr__McDell_s_Room obj167_Hall_Near_Room_2 obj171_bulletin_board obj176_posters obj177_refrigerator obj178_pictures obj181_mural obj182_costume_box
Attribute 20	supporter		! Furniture obj125_shelf
Attribute 23	transparent		! obj20__self_object_ obj31_Dealing_With_Ms__Empirious obj36_Where_is_Alicia_Aronstein_ obj42_Should_I_give_Andrea_a_candy_gram_ obj46_How_can_I_help_Mr__Pisces_ obj51_How_can_I_solve_Ms__Picasso_s__Prejudice__riddle_ obj57_How_can_I_solve_Ms__Garrulous__math_cake_problem_ obj62_How_can_I_get_Queenie_to_say_more_ obj79_Ed_Dibbles obj83_Silas_Gibber obj142_aquarium
Attribute 27	male			! obj79_Ed_Dibbles obj83_Silas_Gibber obj89_boy obj95_Mr__Pisces obj97_Mr__Alltext obj98_Jim_Hastely obj99_Mr__McDell obj101_Principal_Drenaline
Attribute 28	female			! obj78_Ms__Empirious obj80_Ms__Reunite obj81_Ms__Picasso obj84_Ms__Garrulous obj85_Danielle_DeJonses obj86_Ms__Fuerstein obj87_Andrea obj88_Joanie obj90_Alexis obj91_Stephanie obj92_Alicia_Aronstein obj93_Queenie obj94_Judy obj96_Meghan_Mascaras obj100_tall_woman
Attribute 30	pluralname		! obj77_kids obj126_soft_drinks obj145_mobiles obj176_posters obj177_refrigerator obj178_pictures obj183_costumes

Property 1	name:?
Property 2	prop2:?
Property 4	before:?
Property 5	after:string
Property 6	life:?
Property 7	n_to:thing
Property 8	s_to:thing
Property 9	e_to:?
Property 10	w_to:thing
Property 12	se_to:dictword
Property 13	nw_to:dictword
Property 18	out_to:?
Property 19	door_to:?
Property 20	with_key:?
Property 21	door_dir:?
Property 22	invent:string
Property 23	plural:string
Property 29	orders:?
Property 30	initial:thing
Property 35	description:?
Property 36	describe:dictword
Property 37	article:string
Property 39	found_in:?
Property 40	time_left:?
Property 41	number:?
Property 42	time_out:?
Property 44	each_turn:dictword
Property 45	capacity:?
Property 46	short_name:thing
Property 48	parse_name:thing
Property 72	parse_input:routine
Property 73	play:routine
Property 74	end_turn_sequence:routine
Property 75	begin_action:routine
Property 76	qflag:?
Property 77	MAXQUIP:?
Property 78	SetQuip:routine
Property 79	QuipOn:routine
Property 80	QuipOff:routine
Property 81	QuipsOn:routine
Property 82	QuipsOff:routine
Property 83	TestQuip:routine
Property 84	SayQ:?
Property 85	Respond:thing
Property 86	InitQuips:thing
Property 87	hintMessage:dictword
Property 88	getHints:?
Property 89	buys:?
Property 90	edgram:?
Property 91	gives:?
Property 92	Answer:?
Property 93	silasgram:?
Property 94	daniellegram:?
Property 95	stopper:?
Property 96	andreagram:?
Property 97	gooddeed:?
Property 98	aliciagram:?
Property 99	queeniegram:?
Property 100	gooddeeds:?
Property 101	count:?
Property 102	dance:?
Property 103	judygram:?
Property 104	meghangram:?
Property 105	delivered:?
Property 106	bought:?
Property 107	reported:?
Property 108	jimgram:?
Property 109	insult:?
Property 110	closes:?
Property 111	outside:?
Property 112	exits:?
Property 113	fear:?
Property 114	returns:?
Property 115	sixcount:?
Property 116	twocount:?

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Pronouns	! 'nouns'/'pronouns'
Action 1	Quit		! 'die'/'q//'/'quit'
Action 2	Restart		! 'restart'
Action 3	Restore		! 'restore'
Action 4	Save		! 'save'
Action 5	Verify		! 'verify'
Action 6	ScriptOn	! 'script'/'transcrip'
				! 'script'/'transcrip' 'on'
Action 7	ScriptOff	! 'noscript'/'unscript'
				! 'script'/'transcrip' 'off'
Action 8	NotifyOn	! 'notify' 'on'
Action 9	NotifyOff	! 'notify' 'off'
Action 10	Places		! 'places'
Action 11	Objects		! 'objects'
Action 12	Score		! 'score'
Action 13	FullScore	! 'full'/'fullscore'
				! 'full'/'fullscore' 'score'
Action 14	Inv		! 'i//'/'inv'/'inventory'
				! 'carry'/'hold'/'take' 'inventory'
Action 15	Take		! 'peel' noun
				! 'peel' 'off' noun
				! 'remove' multi
				! 'pick' 'up' multi
				! 'pick' multi 'up'
				! 'get' multi
				! 'carry'/'hold'/'take' multi
Action 16	Drop		! 'discard'/'drop'/'throw' multiheld
				! 'put' 'down' multiheld
				! 'put' multiheld 'down'
Action 17	Remove		! 'remove' multiinside 'from' noun
				! 'get' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'from' noun
				! 'carry'/'hold'/'take' multiinside 'off' noun
Action 18	PutOn		! 'discard'/'drop'/'throw' multiexcept 'on'/'onto' noun
				! 'put' multiexcept 'on'/'onto' noun
Action 19	Insert		! 'discard'/'drop'/'throw' multiexcept 'in'/'into'/'down' noun
				! 'insert' multiexcept 'in'/'into' noun
				! 'put' multiexcept 'in'/'inside'/'into' noun
Action 20	EmptyT		! 'empty' noun 'to'/'into'/'on'/'onto' noun
Action 21	Give		! 'feed'/'give'/'offer'/'pay' held 'to' creature
				! 'feed'/'give'/'offer'/'pay' creature held
				! 'feed'/'give'/'offer'/'pay' 'over' held 'to' creature
Action 22	Show		! 'display'/'present'/'show' creature held
				! 'display'/'present'/'show' held 'to' creature
Action 23	Enter		! 'lie'/'sit' 'on' 'top' 'of' noun
				! 'lie'/'sit' 'on'/'in'/'inside' noun
				! 'cross'/'enter' noun
				! 'leave' 'into'/'in'/'inside'/'through' noun
				! 'go'/'run'/'walk' noun
				! 'go'/'run'/'walk' 'into'/'in'/'inside'/'through' noun
				! 'stand' 'on' noun
				! 'get' 'in'/'into'/'on'/'onto' noun
Action 24	GetOff		! 'get' 'off' noun
Action 25	Exit		! 'exit'/'out'/'outside'
				! 'leave' noun
				! 'stand'
				! 'stand' 'up'
				! 'get' 'out'/'off'/'up'
Action 26	VagueGo		! 'leave'
				! 'go'/'run'/'walk'
Action 27	Go		! 'leave' noun=routine67508
				! 'go'/'run'/'walk' noun=routine67508
Action 28	LMode1		! 'brief'/'normal'
Action 29	LMode2		! 'long'/'verbose'
Action 30	LMode3		! 'short'/'superbrie'
Action 31	Look		! 'l//'/'look'
Action 32	Examine		! 'read' noun
				! 'check'/'describe'/'examine'/'watch'/'x//' noun
				! 'l//'/'look' 'at' noun
				! 'l//'/'look' 'through' noun
Action 33	LookUnder	! 'l//'/'look' 'under' noun
Action 34	Search		! 'search' noun
				! 'l//'/'look' 'inside'/'in'/'into'/'through' noun
Action 35	Unlock		! 'unlock' noun 'with' held
				! 'open'/'uncover'/'undo'/'unwrap' noun 'with' held
Action 36	Lock		! 'lock' noun
				! 'lock' noun 'with' noun
Action 37	SwitchOn	! 'switch' noun
				! 'switch' noun 'on'
				! 'switch' 'on' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'on'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'on' noun
Action 38	SwitchOff	! 'switch' noun 'off'
				! 'switch' 'off' noun
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun 'off'
				! 'rotate'/'screw'/'turn'/'twist'/'unscrew' 'off' noun
				! 'close'/'cover'/'shut' 'off' noun
Action 39	Open		! 'open'/'uncover'/'undo'/'unwrap' noun
Action 40	Close		! 'close'/'cover'/'shut' noun
				! 'close'/'cover'/'shut' 'up' noun
Action 41	Disrobe		! 'disrobe'/'doff'/'shed' held
				! 'remove' held
				! 'carry'/'hold'/'take' 'off' worn
Action 42	Wear		! 'put' 'on' held
				! 'don'/'wear' held
Action 43	Eat		! 'eat' held
Action 44	Yes		! 'y//'/'yes'
Action 45	No		! 'no'
Action 46	Burn		! 'burn'/'light' noun
				! 'burn'/'light' noun 'with' held
Action 47	Pray		! 'pray'
Action 48	Wake		! 'awake'/'awaken'/'wake'
				! 'awake'/'awaken'/'wake' 'up'
Action 49	WakeOther	! 'awake'/'awaken'/'wake' creature
				! 'awake'/'awaken'/'wake' creature 'up'
				! 'awake'/'awaken'/'wake' 'up' creature
Action 50	Kiss		! 'embrace'/'hug'/'kiss' creature
Action 51	Think		! 'think'
Action 52	Smell		! 'smell'/'sniff'
				! 'smell'/'sniff' noun
Action 53	Listen		! 'hear'/'listen'
				! 'hear'/'listen' noun
				! 'hear'/'listen' 'to' noun
Action 54	Taste		! 'taste' noun
Action 55	Touch		! 'feel'/'fondle'/'grope'/'touch' noun
Action 56	Dig		! 'dig' noun
				! 'dig' noun 'with' held
Action 57	Cut		! 'chop'/'cut'/'prune'/'slice' noun
Action 58	Jump		! 'hop'/'jump'/'skip'
Action 59	JumpOver	! 'hop'/'jump'/'skip' 'over' noun
Action 60	Tie		! 'attach'/'fasten'/'fix'/'tie' noun
				! 'attach'/'fasten'/'fix'/'tie' noun 'to' noun
Action 61	Drink		! 'drink'/'sip'/'swallow' noun
Action 62	Fill		! 'fill' noun
Action 63	Sorry		! 'sorry'
Action 64	Strong		! 'damn'/'fuck'/'shit'/'sod'
				! 'damn'/'fuck'/'shit'/'sod' topic
Action 65	Mild		! 'bother'/'curses'/'darn'/'drat'
				! 'bother'/'curses'/'darn'/'drat' topic
Action 66	Attack		! 'attack'/'break'/'crack'/'destroy'/'fight'/'hit'/'kill'/'murder'/'punch'/'smash'/'thump'/'torture'/'wreck' noun
Action 67	Swim		! 'dive'/'swim'
Action 68	Swing		! 'swing' noun
				! 'swing' 'on' noun
Action 69	Blow		! 'blow' held
Action 70	Rub		! 'clean'/'dust'/'polish'/'rub'/'scrub'/'shine'/'sweep'/'wipe' noun
Action 71	Set		! 'adjust'/'set' noun
Action 72	SetTo		! 'adjust'/'set' noun 'to' special
Action 73	WaveHands	! 'wave'
Action 74	Wave		! 'wave' noun
Action 75	Pull		! 'drag'/'pull' noun
Action 76	Push		! 'clear'/'move'/'press'/'push'/'shift' noun
Action 77	Turn		! 'rotate'/'screw'/'turn'/'twist'/'unscrew' noun
Action 78	PushDir		! 'clear'/'move'/'press'/'push'/'shift' noun noun
Action 79	Squeeze		! 'squash'/'squeeze' noun
Action 80	ThrowAt		! 'discard'/'drop'/'throw' held 'at'/'against'/'on'/'onto' noun
Action 81	Tell		! 'tell' creature 'about' topic
Action 82	Answer		! 'answer'/'say'/'shout'/'speak' topic 'to' creature
Action 83	Ask		! 'ask' creature 'about' topic
Action 84	Buy		! 'buy'/'purchase' noun
Action 85	Sing		! 'sing'
Action 86	Climb		! 'climb'/'scale' noun
				! 'climb'/'scale' 'up'/'over' noun
Action 87	Wait		! 'wait'/'z//'
Action 88	Sleep		! 'nap'/'sleep'
Action 89	Consult		! 'read' 'about' topic 'in' noun
				! 'read' topic 'in' noun
				! 'consult' noun 'about' topic
				! 'consult' noun 'on' topic
				! 'l//'/'look' 'up' topic 'in' noun
Action 90	AskFor		! 'ask' creature 'for' noun
Action 93	TalkTo		! 'talk' 'to' creature
				! 'talk' 'to' noun
Action 94	Transfer	! 'clear'/'move'/'press'/'push'/'shift' noun 'to' noun
				! 'transfer' noun 'to' noun
Action 95	knock		! 'knock' 'on' noun
Action 96	about		! 'about'
Action 97	intro		! 'intro'
Action 98	walkthru	! 'walkthru'
Action 99	smile		! 'smile'
				! 'smile' 'at' noun
Action 100	wink		! 'wink'
				! 'wink' 'at' noun
Action 101	Version		! 'version'
Action 102	Empty		! 'empty' noun
				! 'empty' 'out' noun
				! 'empty' noun 'out'
Action 103	InvTall		! 'i//'/'inv'/'inventory' 'tall'
Action 104	InvWide		! 'i//'/'inv'/'inventory' 'wide'
Action 105	GoIn		! 'in'/'inside'
				! 'cross'/'enter'
Action 106	XMenu		! 'menu'
Action 107	XTMenu		! 'hint'


Routine 0x4df0	routine19952:?
Routine 0x4df8	routine19960:?
Routine 0x4e04	routine19972:?
Routine 0x4e08	routine19976:?
Routine 0x4e2c	routine20012:?
Routine 0x4ecc	routine20172:?
Routine 0x50a4	routine20644:?
Routine 0x50dc	routine20700:?
Routine 0x5118	routine20760:?
Routine 0x5148	routine20808:?
Routine 0x5178	routine20856:?
Routine 0x518c	routine20876:?
Routine 0x51c0	routine20928:?
Routine 0x51fc	routine20988:?
Routine 0x6f58	routine28504:?
! References: obj20__self_object_.short_name
Routine 0x6f64	routine28516:?
Routine 0x6f70	routine28528:?
Routine 0x6f7c	routine28540:?
Routine 0x6f9c	routine28572:?
Routine 0x7028	routine28712:?
! References: obj21__Inform_Parser_.parse_input
Routine 0x703c	routine28732:?
Routine 0x7044	routine28740:?
Routine 0x7054	routine28756:?
Routine 0x722c	routine29228:?
Routine 0x7a18	routine31256:?
Routine 0x7a4c	routine31308:?
Routine 0x7a68	routine31336:?
Routine 0x7bb0	routine31664:?
