! Auto-generated by Reform.

MD5	5bcd91ee055e9bd42812617571be227b
Object 124	obj124_Lava_Room
Object 125	obj125_Dusty_Room
Object 126	obj126_Wide_Ledge
Object 127	obj127_Volcano_View
Object 128	obj128_Library
Object 129	obj129_Narrow_Ledge
Object 130	obj130_Volcano_Near_Wide_Ledge
Object 131	obj131_Volcano_by_Viewing_Ledge
Object 132	obj132_Volcano_Near_Small_Ledge
Object 133	obj133_Volcano_Core
Object 134	obj134_Volcano_Bottom
Object 135	obj135_Pearl_Room
Object 136	obj136_stone_door
Object 137	obj137_Riddle_Room
Object 138	obj138_Carousel_Room
Object 139	obj139_Wizard_s_Quarters
Object 140	obj140_dead_sea_serpent
Object 141	obj141_baby_sea_serpent
Object 142	obj142_Murky_Room
Object 143	obj143_clear_crystal_sphere
Object 144	obj144_aquarium
Object 145	obj145_Aquarium_Room
Object 146	obj146_pentagram
Object 147	obj147_Pentagram_Room
Object 148	obj148_smashed_trophy_cabinet
Object 149	obj149_Wizard_s_trophy_cabinet
Object 150	obj150_Wizard_s_trophy_cabinet
Object 151	obj151_warning_label
Object 152	obj152_small_bottles
Object 153	obj153_nicked_swords
Object 154	obj154_set_of_used_wands
Object 155	obj155_degree
Object 156	obj156_Trophy_Room
Object 157	obj157_black_crystal_sphere
Object 158	obj158_black_obsidian_stand
Object 159	obj159_diamond_stand
Object 160	obj160_sapphire_stand
Object 161	obj161_ruby_stand
Object 162	obj162_Wizard_s_workbench
Object 163	obj163_arcane_item
Object 164	obj164_Wizard_s_Workroom
Object 165	obj165_Wizard_s_Workshop
Object 166	obj166_lizard
Object 167	obj167_Guarded_Room
Object 168	obj168_Landing
Object 169	obj169_marble_crypt
Object 170	obj170_set_of_poled_heads
Object 171	obj171_secret_door
Object 172	obj172_Crypt
Object 173	obj173_crypt_door
Object 174	obj174_Crypt_Anteroom
Object 175	obj175_three_headed_dog
Object 176	obj176_three_headed_dog
Object 177	obj177_Cerberus_Room
Object 178	obj178_Oddly_angled_Room
Object 179	obj179_Oddly_angled_Room
Object 180	obj180_Oddly_angled_Room
Object 181	obj181_Oddly_angled_Room
Object 182	obj182_Oddly_angled_Room
Object 183	obj183_Oddly_angled_Room
Object 184	obj184_Oddly_angled_Room
Object 185	obj185_Oddly_angled_Room
Object 186	obj186_diamond_shaped_window
Object 187	obj187_Oddly_angled_Room
Object 188	obj188_stairs
Object 189	obj189_Stairway
Object 190	obj190_wooden_club
Object 191	obj191_gigantic_dog_collar
Object 192	obj192_Kennel
Object 193	obj193_enormous_menhir
Object 194	obj194_enormous_menhir
Object 195	obj195_Menhir_Room
Object 196	obj196_Room_8
Object 197	obj197_door_partly_covered_in_cobwebs
Object 198	obj198_Cobwebby_Corridor
Object 199	obj199_Lava_Tube
Object 200	obj200_Ice_Room
Object 201	obj201_Cool_Room
Object 202	obj202_Stone_Bridge
Object 203	obj203_Fresco_Room
Object 204	obj204_beautiful_princess
Object 205	obj205_beautiful_princess
Object 206	obj206_huge_dead_dragon
Object 207	obj207_huge_red_dragon
Object 208	obj208_golden_dragon_statuette
Object 209	obj209_rotten_wooden_chest
Object 210	obj210_Dragon_s_Lair
Object 211	obj211_Dragon_Room
Object 212	obj212_End_of_Ledge
Object 213	obj213_Ledge_in_Ravine
Object 214	obj214_Deep_Ford
Object 215	obj215_Marble_Hall
Object 216	obj216_Path_Near_Stream
Object 217	obj217_hedge
Object 218	obj218_Topiary
Object 219	obj219_Formal_Garden
Object 220	obj220_Gazebo
Object 221	obj221_gazebo
Object 222	obj222_North_End_of_Garden
Object 223	obj223_unicorn
Object 224	obj224_unicorn
Object 225	obj225_Dark_Tunnel
Object 226	obj226_Shallow_Ford
Object 227	obj227_Great_Cavern
Object 228	obj228_Foot_Bridge
Object 229	obj229_Narrow_Tunnel
Object 230	obj230
Object 231	obj231_Inside_the_Barrow
Object 232	obj232_north_wall
Object 233	obj233_south_wall
Object 234	obj234_west_wall
Object 235	obj235_east_wall
Object 236	obj236_well
Object 237	obj237_wish
Object 238	obj238_water
Object 239	obj239_north_wall
Object 240	obj240_west_wall
Object 241	obj241_south_wall
Object 242	obj242_east_wall
Object 243	obj243
Object 244	obj244_tunnel
Object 245	obj245_bridge
Object 246	obj246_roses
Object 247	obj247_mosses
Object 248	obj248_chasm
Object 249	obj249
Object 250	obj250_stream

Attribute 0	attrib0			! obj4_cretin
Attribute 1	attrib1			! obj243
Attribute 2	attrib2			! obj12_random_object obj243
Attribute 3	attrib3			! obj86_gaudy_crown obj243
Attribute 4	attrib4			! obj38_keyhole obj39_keyhole obj59_receptacle obj94_brick obj243
Attribute 5	attrib5			! obj120_Cage obj130_Volcano_Near_Wide_Ledge obj131_Volcano_by_Viewing_Ledge obj132_Volcano_Near_Small_Ledge obj133_Volcano_Core
Attribute 6	attrib6			! obj118_Circular_Room obj119_Top_of_Well obj126_Wide_Ledge obj129_Narrow_Ledge obj130_Volcano_Near_Wide_Ledge obj131_Volcano_by_Viewing_Ledge obj132_Volcano_Near_Small_Ledge obj133_Volcano_Core obj134_Volcano_Bottom
Attribute 7	attrib7			! obj32_china_teapot obj35_blue_crystal_sphere obj81_stoppered_glass_flask_filled_with_liquid obj85_red_crystal_sphere obj143_clear_crystal_sphere obj149_Wizard_s_trophy_cabinet obj157_black_crystal_sphere obj243
Attribute 8	attrib8			! obj33_place_mat obj41_table obj74_large_oblong_table obj104_table obj146_pentagram obj158_black_obsidian_stand obj159_diamond_stand obj160_sapphire_stand obj161_ruby_stand obj162_Wizard_s_workbench obj243
Attribute 9	attrib9			! obj4_cretin obj55_package_of_candy obj56_solid_steel_cage obj83_steel_box obj171_secret_door obj190_wooden_club obj243
Attribute 10	attrib10		! obj24_Wizard_s_magic_wand obj29_delicate_gold_key obj35_blue_crystal_sphere obj48_portrait_of_J__Pierpont_Flathead obj49_stack_of_zorkmid_bills obj55_package_of_candy obj57_ruby obj64_Flathead_stamp obj65_priceless_zorkmid obj72_pearl_necklace obj84_fancy_violin obj85_red_crystal_sphere obj86_gaudy_crown obj143_clear_crystal_sphere obj157_black_crystal_sphere obj191_gigantic_dog_collar obj208_golden_dragon_statuette obj243
Attribute 11	attrib11		! obj25_Wizard_of_Frobozz obj32_china_teapot obj33_place_mat obj38_keyhole obj39_keyhole obj41_table obj42_metal_lid obj51_wooden_bucket obj58_robot obj74_large_oblong_table obj79_hole obj94_brick obj98_basket obj104_table obj144_aquarium obj146_pentagram obj148_smashed_trophy_cabinet obj158_black_obsidian_stand obj159_diamond_stand obj160_sapphire_stand obj161_ruby_stand obj162_Wizard_s_workbench obj175_three_headed_dog obj223_unicorn obj243
Attribute 12	attrib12		! obj17_Room_of_Black_Mist obj18_Room_of_White_Mist obj19_Room_of_Blue_Mist obj21_Room_of_Red_Mist obj100_Tiny_Room obj103_Dreary_Room obj106_Chairman_s_Office obj107_Safety_Depository obj108_Vault obj109_Small_Room obj110_East_Viewing_Room obj111_West_Viewing_Room obj112_East_Teller_s_Room obj113_West_Teller_s_Room obj114_Bank_Entrance obj115_Pool_Room obj116_Posts_Room obj117_Tea_Room obj118_Circular_Room obj119_Top_of_Well obj120_Cage obj121_Dingy_Closet obj122_Machine_Room obj123_Low_Room obj124_Lava_Room obj125_Dusty_Room obj126_Wide_Ledge obj127_Volcano_View obj128_Library obj129_Narrow_Ledge obj134_Volcano_Bottom obj135_Pearl_Room obj137_Riddle_Room obj138_Carousel_Room obj139_Wizard_s_Quarters obj142_Murky_Room obj145_Aquarium_Room obj147_Pentagram_Room obj156_Trophy_Room obj164_Wizard_s_Workroom obj165_Wizard_s_Workshop obj167_Guarded_Room obj168_Landing obj172_Crypt obj174_Crypt_Anteroom obj177_Cerberus_Room obj178_Oddly_angled_Room obj179_Oddly_angled_Room obj180_Oddly_angled_Room obj181_Oddly_angled_Room obj182_Oddly_angled_Room obj183_Oddly_angled_Room obj184_Oddly_angled_Room obj185_Oddly_angled_Room obj187_Oddly_angled_Room obj189_Stairway obj192_Kennel obj195_Menhir_Room obj196_Room_8 obj198_Cobwebby_Corridor obj199_Lava_Tube obj200_Ice_Room obj201_Cool_Room obj202_Stone_Bridge obj203_Fresco_Room obj210_Dragon_s_Lair obj211_Dragon_Room obj212_End_of_Ledge obj213_Ledge_in_Ravine obj214_Deep_Ford obj215_Marble_Hall obj216_Path_Near_Stream obj218_Topiary obj219_Formal_Garden obj220_Gazebo obj222_North_End_of_Garden obj225_Dark_Tunnel obj226_Shallow_Ford obj227_Great_Cavern obj228_Foot_Bridge obj229_Narrow_Tunnel obj231_Inside_the_Barrow obj243
Attribute 13	attrib13		! obj23_sword obj24_Wizard_s_magic_wand obj29_delicate_gold_key obj85_red_crystal_sphere obj152_small_bottles obj153_nicked_swords obj154_set_of_used_wands obj155_degree obj163_arcane_item obj170_set_of_poled_heads obj186_diamond_shaped_window obj223_unicorn obj243 obj246_roses obj247_mosses
Attribute 14	attrib14		! obj1_pair_of_hands obj3_way obj4_cretin obj6_blast_of_air obj9_sailor obj10_blessings obj12_random_object obj20_sphere obj24_Wizard_s_magic_wand obj28_ribbon obj29_delicate_gold_key obj36_rusty_iron_key obj38_keyhole obj39_keyhole obj40_narrow_crack obj41_table obj42_metal_lid obj43_metal_lid obj45_shimmering_curtain_of_light obj46_large_stone_cube obj50_group_of_wooden_posts obj53_wall_with_etchings obj54_wall_with_etchings obj59_receptacle obj67_leak obj79_hole obj87_cloth_bag obj89_triangular_button obj90_square_button obj91_round_button obj95_braided_wire obj96_box obj104_table obj136_stone_door obj143_clear_crystal_sphere obj146_pentagram obj152_small_bottles obj153_nicked_swords obj154_set_of_used_wands obj155_degree obj159_diamond_stand obj160_sapphire_stand obj161_ruby_stand obj162_Wizard_s_workbench obj163_arcane_item obj166_lizard obj169_marble_crypt obj170_set_of_poled_heads obj186_diamond_shaped_window obj188_stairs obj193_enormous_menhir obj194_enormous_menhir obj217_hedge obj221_gazebo obj232_north_wall obj233_south_wall obj234_west_wall obj235_east_wall obj236_well obj237_wish obj239_north_wall obj240_west_wall obj241_south_wall obj242_east_wall obj244_tunnel obj245_bridge obj246_roses obj247_mosses obj248_chasm obj250_stream
Attribute 15	attrib15		! obj36_rusty_iron_key obj194_enormous_menhir
Attribute 16	attrib16		! obj22_Frobozz_Magic_Grue_Repellent obj34_newspaper obj46_large_stone_cube obj47_bank_brochure obj49_stack_of_zorkmid_bills obj53_wall_with_etchings obj54_wall_with_etchings obj55_package_of_candy obj60_white_book obj61_blue_book obj62_green_book obj63_purple_book obj64_Flathead_stamp obj65_priceless_zorkmid obj68_cake_frosted_with_red_letters obj69_cake_frosted_with_orange_letters obj70_cake_frosted_with_blue_letters obj71_cake_frosted_with_green_letters obj80_green_piece_of_paper obj81_stoppered_glass_flask_filled_with_liquid obj88_card obj97_blue_label obj105_matchbook obj151_warning_label obj155_degree obj169_marble_crypt obj190_wooden_club obj193_enormous_menhir obj194_enormous_menhir
Attribute 17	attrib17		! obj22_Frobozz_Magic_Grue_Repellent obj23_sword obj24_Wizard_s_magic_wand obj27_perfect_rose obj29_delicate_gold_key obj30_quantity_of_salty_water obj31_quantity_of_water obj32_china_teapot obj33_place_mat obj34_newspaper obj35_blue_crystal_sphere obj36_rusty_iron_key obj37_letter_opener obj47_bank_brochure obj48_portrait_of_J__Pierpont_Flathead obj49_stack_of_zorkmid_bills obj52_black_string obj55_package_of_candy obj57_ruby obj60_white_book obj61_blue_book obj62_green_book obj63_purple_book obj64_Flathead_stamp obj65_priceless_zorkmid obj68_cake_frosted_with_red_letters obj69_cake_frosted_with_orange_letters obj70_cake_frosted_with_blue_letters obj71_cake_frosted_with_green_letters obj72_pearl_necklace obj73_mangled_cage obj75_broken_brass_lantern obj76_lamp obj80_green_piece_of_paper obj81_stoppered_glass_flask_filled_with_liquid obj83_steel_box obj84_fancy_violin obj85_red_crystal_sphere obj86_gaudy_crown obj88_card obj94_brick obj97_blue_label obj105_matchbook obj140_dead_sea_serpent obj143_clear_crystal_sphere obj157_black_crystal_sphere obj190_wooden_club obj191_gigantic_dog_collar obj208_golden_dragon_statuette obj209_rotten_wooden_chest
Attribute 18	attrib18		! obj25_Wizard_of_Frobozz obj32_china_teapot obj33_place_mat obj41_table obj42_metal_lid obj43_metal_lid obj51_wooden_bucket obj58_robot obj59_receptacle obj60_white_book obj61_blue_book obj62_green_book obj63_purple_book obj74_large_oblong_table obj83_steel_box obj96_box obj102_door_made_of_oak obj104_table obj136_stone_door obj144_aquarium obj146_pentagram obj148_smashed_trophy_cabinet obj149_Wizard_s_trophy_cabinet obj158_black_obsidian_stand obj159_diamond_stand obj160_sapphire_stand obj161_ruby_stand obj162_Wizard_s_workbench obj171_secret_door obj173_crypt_door obj175_three_headed_dog obj197_door_partly_covered_in_cobwebs obj209_rotten_wooden_chest obj223_unicorn
Attribute 19	attrib19		! obj17_Room_of_Black_Mist obj18_Room_of_White_Mist obj19_Room_of_Blue_Mist obj21_Room_of_Red_Mist obj103_Dreary_Room obj107_Safety_Depository obj116_Posts_Room obj117_Tea_Room obj120_Cage obj121_Dingy_Closet obj122_Machine_Room obj123_Low_Room obj125_Dusty_Room obj142_Murky_Room obj145_Aquarium_Room obj147_Pentagram_Room obj164_Wizard_s_Workroom obj168_Landing obj218_Topiary obj219_Formal_Garden obj220_Gazebo obj222_North_End_of_Garden obj226_Shallow_Ford obj227_Great_Cavern obj228_Foot_Bridge obj229_Narrow_Tunnel obj231_Inside_the_Barrow obj243
Attribute 20	attrib20		! obj55_package_of_candy obj68_cake_frosted_with_red_letters obj69_cake_frosted_with_orange_letters obj70_cake_frosted_with_blue_letters obj71_cake_frosted_with_green_letters
Attribute 21	attrib21		! obj30_quantity_of_salty_water obj31_quantity_of_water obj238_water
Attribute 22	attrib22		! obj101_barred_window obj102_door_made_of_oak obj136_stone_door obj171_secret_door obj173_crypt_door obj197_door_partly_covered_in_cobwebs
Attribute 23	attrib23		! obj188_stairs
Attribute 24	attrib24		! obj243
Attribute 26	attrib26		! obj34_newspaper obj47_bank_brochure obj48_portrait_of_J__Pierpont_Flathead obj49_stack_of_zorkmid_bills obj52_black_string obj60_white_book obj61_blue_book obj62_green_book obj63_purple_book obj64_Flathead_stamp obj80_green_piece_of_paper obj88_card obj94_brick obj97_blue_label obj190_wooden_club
Attribute 27	attrib27		! obj51_wooden_bucket obj98_basket
Attribute 28	attrib28		! obj1_pair_of_hands obj14_number obj36_rusty_iron_key obj37_letter_opener
Attribute 29	attrib29		! obj23_sword obj190_wooden_club
Attribute 30	attrib30		! obj4_cretin obj5_you obj25_Wizard_of_Frobozz obj26_demon obj44_Gnome_of_Zurich obj58_robot obj99_Volcano_Gnome obj141_baby_sea_serpent obj175_three_headed_dog obj204_beautiful_princess obj205_beautiful_princess obj207_huge_red_dragon obj223_unicorn obj224_unicorn
Attribute 31	attrib31		! obj76_lamp

Property 2	prop2:?
Property 3	prop3:?
Property 4	prop4:thing
Property 5	prop5:?
Property 6	prop6:routine
Property 7	prop7:?
Property 8	prop8:?
Property 9	prop9:?
Property 10	prop10:?
Property 11	prop11:?
Property 12	prop12:?
Property 13	prop13:?
Property 14	prop14:?
Property 15	prop15:thing
Property 16	prop16:?
Property 17	prop17:dictwords
Property 18	cross_to:exit
Property 19	land_to:exit
Property 20	out_to:exit
Property 21	in_to:exit
Property 22	d_to:exit
Property 23	u_to:exit
Property 24	southw_to:exit
Property 25	se_to:exit
Property 26	northw_to:exit
Property 27	ne_to:exit
Property 28	s_to:exit
Property 29	w_to:exit
Property 30	e_to:exit
Property 31	n_to:exit

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'verbos'
Action 1	Action1		! 'brief'
Action 2	Action2		! 'super'/'superb'
Action 3	Action3		! 'diagno'
Action 4	Action4		! 'i//'/'invent'
Action 5	Action5		! 'q//'/'quit'
Action 6	Action6		! 'restar'
Action 7	Action7		! 'restor'
Action 8	Action8		! 'save'
Action 9	Action9		! 'score'
Action 10	Action10	! 'script'
Action 11	Action11	! 'unscri'
Action 12	Action12	! 'versio'
Action 13	Action13	! '$ve'
Action 14	Action14	! 'debug'
Action 15	Action15	! 'activa' attrib31(held,carried,in_room,on_ground)
				! 'light' attrib31(held,carried,in_room,on_ground,take,have)
				! 'flip'/'set'/'shut'/'turn' 'onto'/'on' object 'with'/'using'/'thru'/'throug' object(have)
				! 'flip'/'set'/'shut'/'turn' 'onto'/'on' attrib31(held,carried,in_room,on_ground)
Action 16	Action16	! 'again'/'g//'
Action 17	Action17	! 'answer'/'reply'
Action 18	Action18	! 'answer'/'reply' object
Action 19	Action19	! 'apply' object 'to' object
				! 'drop'/'releas' object(held,many,have) 'into'/'inside'/'in' object
				! 'drop'/'releas' object(held,many,have) 'down'/'d//' object
				! 'move' object(held,many,have) 'into'/'inside'/'in' object
				! 'hide'/'insert'/'place'/'put'/'stuff' object(held,many,have) 'into'/'inside'/'in' object
				! 'squeez' object 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'into'/'inside'/'in' object
Action 20	Action20	! 'attack'/'fight'/'hit'/'hurt'/'injure' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
				! 'attack'/'fight'/'hit'/'hurt'/'injure' attrib30(in_room,on_ground)
				! 'dispat'/'kill'/'murder'/'slay' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
				! 'dispat'/'kill'/'murder'/'slay' attrib30(in_room,on_ground)
				! 'stab' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,have)
				! 'knock'/'rap' 'down'/'d//' attrib30(in_room,on_ground)
				! 'strike' attrib30(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib29(held,carried,in_room,on_ground,have)
Action 21	Action21	! 'back'
Action 22	Action22	! 'blast'
				! 'blow' 'up'/'u//' object
Action 23	Action23	! 'blow' 'out' object
				! 'douse'/'exting' attrib19(held,carried,in_room,on_ground,take,have)
				! 'hide'/'insert'/'place'/'put'/'stuff' 'out' attrib19(held,carried,in_room,on_ground,take,have)
				! 'flip'/'set'/'shut'/'turn' 'off' attrib19(held,carried,in_room,on_ground,take,have)
Action 24	Action24	! 'blow' 'up'/'u//' object 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground)
				! 'inflat' object 'with'/'using'/'thru'/'throug' attrib28(held,carried,in_room,on_ground)
Action 25	Action25	! 'blow' 'into'/'inside'/'in' object
Action 26	Action26	! 'board' attrib27(in_room,on_ground)
				! 'climb'/'sit' 'into'/'inside'/'in' attrib27(in_room,on_ground)
				! 'carry'/'catch'/'get'/'grab'/'hold'/'remove'/'take' 'into'/'inside'/'in' attrib27(in_room,on_ground)
Action 27	Action27	! 'brush'/'clean' object(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' object
				! 'brush'/'clean' object(held,carried,in_room,on_ground)
Action 28	Action28	! 'bug'
