! Auto-generated by Reform.

MD5	ad3cdea88d81033fe29167688bd98c31
Object 104	obj104_Translucent_Room
Object 105	obj105_Landing
Object 106	obj106_portraits_of_unknown_persons
Object 107	obj107_worn_silver_spoon
Object 108	obj108_rusty_gate
Object 109	obj109_guards
Object 110	obj110_hole
Object 111	obj111_glimpse
Object 112	obj112_beautiful__ornamented_egg
Object 113	obj113_sea
Object 114	obj114_niche
Object 115	obj115_ornate_button
Object 116	obj116_Courtyard
Object 117	obj117_black_scroll
Object 118	obj118_lily_pad
Object 119	obj119_Translucent_Room
Object 120	obj120_creature_swathed_in_rags
Object 121	obj121_maps
Object 122	obj122_Temple
Object 123	obj123_Jewel_Room
Object 124	obj124_rat_nest
Object 125	obj125_Hall_of_Mirrors_Two
Object 126	obj126_mirror
Object 127	obj127_tower
Object 128	obj128_spear
Object 129	obj129_Gallery
Object 130	obj130_meadow
Object 131	obj131_iron_chain
Object 132	obj132_monster
Object 133	obj133_fourposter_feather_bed
Object 134	obj134_gold_leaf_scroll
Object 135	obj135_room
Object 136	obj136_golden_crank
Object 137	obj137_Banquet_Hall
Object 138	obj138_compartment
Object 139	obj139_diamond_studded_button
Object 140	obj140_Loop
Object 141	obj141_exex_spell
Object 142	obj142_Courtyard
Object 143	obj143_Meadow
Object 144	obj144_spell_book
Object 145	obj145_Engine_Room
Object 146	obj146_Library
Object 147	obj147_north_cell_door
Object 148	obj148_lapis_handle
Object 149	obj149_emerald_knob
Object 150	obj150_Legend_of_the_Unseen_Terror
Object 151	obj151_silver_slide
Object 152	obj152_simple_wooden_door
Object 153	obj153_festive_decorations
Object 154	obj154_frayed_scroll
Object 155	obj155_melbor_spell
Object 156	obj156_Warlock_s_Tower
Object 157	obj157_foundation
Object 158	obj158_zifmia_spell
Object 159	obj159_temple
Object 160	obj160_Winding_Stair
Object 161	obj161_Guarded_Door
Object 162	obj162_Courtyard
Object 163	obj163_Translucent_Room
Object 164	obj164_Bedroom
Object 165	obj165_wooden_shack
Object 166	obj166_glimpse
Object 167	obj167_Frobozz_portrait
Object 168	obj168_stairs
Object 169	obj169_sacrificial_dagger
Object 170	obj170_lighted_portrait
Object 171	obj171_Control_Room
Object 172	obj172_Hall_of_Mirrors_One
Object 173	obj173_Western_Road
Object 174	obj174_Translucent_Room
Object 175	obj175_brass_lantern
Object 176	obj176_strong_box
Object 177	obj177_golden_cutlery
Object 178	obj178_huddled_mass__yearning_to_drink_blood
Object 179	obj179_Flathead_portrait
Object 180	obj180_scrambled_egg
Object 181	obj181_tree
Object 182	obj182_quantity_of_water
Object 183	obj183_skeleton
Object 184	obj184_floor
Object 185	obj185_tracks
Object 186	obj186_mountain
Object 187	obj187_such_thing
Object 188	obj188_dragon
Object 189	obj189_Eastern_Fork
Object 190	obj190_Courtyard
Object 191	obj191_number
Object 192	obj192_group_of_hairy_shapes
Object 193	obj193_blorb_spell
Object 194	obj194_gate
Object 195	obj195_collection_of_chests_and_cabinets
Object 196	obj196_Deserted_Village
Object 197	obj197_ozmoo_spell
Object 198	obj198_ceiling
Object 199	obj199_mirror_environment
Object 200	obj200_arch
Object 201	obj201_purple_scroll
Object 202	obj202_cell_door
Object 203	obj203_golden_globe
Object 204	obj204_black_candle
Object 205	obj205_point_J
Object 206	obj206_slightly_crumpled_scroll
Object 207	obj207_sign
Object 208	obj208_stone_wall
Object 209	obj209_Bottomless_Pit
Object 210	obj210_rat_hole
Object 211	obj211_point_H
Object 212	obj212_Dusty_Trail
Object 213	obj213_Secret_Passage
Object 214	obj214_bramble
Object 215	obj215_vaxum_spell
Object 216	obj216_Translucent_Room
Object 217	obj217_Courtyard
Object 218	obj218_beach
Object 219	obj219_Pebbled_Path
Object 220	obj220_point_F
Object 221	obj221_jewelled_box
Object 222	obj222_sword
Object 223	obj223_luscious_food
Object 224	obj224_tables
Object 225	obj225_Tower
Object 226	obj226_vellum_scroll
Object 227	obj227_Outside_of_Shack
Object 228	obj228_shards_of_glass
Object 229	obj229_Hall_of_Mirrors_Four
Object 230	obj230_guarded_door
Object 231	obj231_Translucent_Room
Object 232	obj232_iron_gate
Object 233	obj233_powerful_scroll
Object 234	obj234_shredded_scroll
Object 235	obj235_damp_scroll
Object 236	obj236_Tower
Object 237	obj237_point_B
Object 238	obj238_rezrov_spell
Object 239	obj239_sign
Object 240	obj240_Translucent_Room
Object 241	obj241_krebf_spell
Object 242	obj242_adventurer
Object 243	obj243_Inside_Gate
Object 244	obj244_Inside_Shack
Object 245	obj245_faded_scroll
Object 246	obj246_South_Gate
Object 247	obj247_Junction
Object 248	obj248_monster
Object 249	obj249_Village_Outskirts
Object 250	obj250_Entharion
Object 251	obj251_south_cell_door
Object 252	obj252_pseudo
Object 253	obj253_South_Hall
Object 254	obj254_various_and_sundry_items
Object 255	obj255_warlock_Krill

Attribute 1	attrib1			! obj152_simple_wooden_door obj194_gate obj232_iron_gate
Attribute 2	attrib2			! obj107_worn_silver_spoon obj112_beautiful__ornamented_egg obj169_sacrificial_dagger obj221_jewelled_box
Attribute 3	attrib3			! obj24_ornate_scroll obj25_scribbled_scroll obj36_stained_scroll obj71_brittle_scroll obj117_black_scroll obj134_gold_leaf_scroll obj154_frayed_scroll obj201_purple_scroll obj206_slightly_crumpled_scroll obj226_vellum_scroll obj233_powerful_scroll obj235_damp_scroll obj245_faded_scroll
Attribute 4	attrib4			! obj8_guncho_spell obj40_kulcad_spell obj53_cleesh_spell obj59_frotz_spell obj60_filfre_spell obj78_izyuk_spell obj80_gnusto_spell obj81_gondar_spell obj84_nitfol_spell obj141_exex_spell obj155_melbor_spell obj158_zifmia_spell obj193_blorb_spell obj197_ozmoo_spell obj215_vaxum_spell obj238_rezrov_spell obj241_krebf_spell
Attribute 5	attrib5			! obj188_dragon
Attribute 6	attrib6			! obj28_point_V obj52_point_R obj68_point_P obj86_point_M obj91_point_K obj205_point_J obj211_point_H obj220_point_F obj237_point_B
Attribute 7	attrib7			! obj3_bedpost obj5_bare_hands_of_a_novice_enchanter obj8_guncho_spell obj15_chains obj18_local_vegetation obj26_banquet_candles obj28_point_V obj30_tangle_of_rope obj31_blinking_display obj37_sign obj40_kulcad_spell obj46_lurking_evil_presence obj51_benches obj52_point_R obj53_cleesh_spell obj55_cretin obj59_frotz_spell obj60_filfre_spell obj62_frog obj63_square_block_of_stone obj67_glowing_control obj68_point_P obj72_heap_of_garbage obj73_Legend_of_the_Great_Implementers obj78_izyuk_spell obj79_random_object obj80_gnusto_spell obj81_gondar_spell obj82_castle_wall obj84_nitfol_spell obj85_oven obj86_point_M obj88_pedestal obj91_point_K obj93_oven obj98_flotsam obj100_statue obj106_portraits_of_unknown_persons obj108_rusty_gate obj114_niche obj115_ornate_button obj118_lily_pad obj121_maps obj124_rat_nest obj126_mirror obj128_spear obj131_iron_chain obj132_monster obj136_golden_crank obj138_compartment obj139_diamond_studded_button obj141_exex_spell obj148_lapis_handle obj149_emerald_knob obj150_Legend_of_the_Unseen_Terror obj151_silver_slide obj152_simple_wooden_door obj153_festive_decorations obj155_melbor_spell obj157_foundation obj158_zifmia_spell obj165_wooden_shack obj167_Frobozz_portrait obj168_stairs obj170_lighted_portrait obj177_golden_cutlery obj178_huddled_mass__yearning_to_drink_blood obj179_Flathead_portrait obj185_tracks obj193_blorb_spell obj194_gate obj195_collection_of_chests_and_cabinets obj197_ozmoo_spell obj198_ceiling obj202_cell_door obj203_golden_globe obj205_point_J obj207_sign obj208_stone_wall obj211_point_H obj215_vaxum_spell obj220_point_F obj223_luscious_food obj224_tables obj228_shards_of_glass obj230_guarded_door obj232_iron_gate obj237_point_B obj238_rezrov_spell obj239_sign obj241_krebf_spell obj242_adventurer obj254_various_and_sundry_items
Attribute 8	attrib8			! obj9_Mountain_Trail obj22_Courtyard obj32_Swamp obj35_Sacrificial_Altar obj42_Fork obj45_Long_Road obj49_Lonely_Mountain obj54_Cell obj66_Courtyard obj76 obj77_West_Hall obj87_Cell obj89_Shady_Brook obj92_Beach obj95_Forest obj96_Trail obj101_Outside_Gate obj102_Trail_Head obj105_Landing obj116_Courtyard obj122_Temple obj123_Jewel_Room obj129_Gallery obj140_Loop obj142_Courtyard obj143_Meadow obj145_Engine_Room obj156_Warlock_s_Tower obj162_Courtyard obj164_Bedroom obj171_Control_Room obj173_Western_Road obj175_brass_lantern obj176_strong_box obj189_Eastern_Fork obj190_Courtyard obj196_Deserted_Village obj204_black_candle obj209_Bottomless_Pit obj212_Dusty_Trail obj217_Courtyard obj219_Pebbled_Path obj227_Outside_of_Shack obj243_Inside_Gate obj244_Inside_Shack obj246_South_Gate obj249_Village_Outskirts
Attribute 9	attrib9			! obj24_ornate_scroll obj44_adventurer obj61_undergrowth obj76 obj78_izyuk_spell obj85_oven obj93_oven obj97_adventurer obj115_ornate_button obj131_iron_chain obj141_exex_spell obj149_emerald_knob obj197_ozmoo_spell obj200_arch obj232_iron_gate obj242_adventurer
Attribute 10	attrib10		! obj19_jug obj24_ornate_scroll obj25_scribbled_scroll obj36_stained_scroll obj71_brittle_scroll obj76 obj112_beautiful__ornamented_egg obj117_black_scroll obj134_gold_leaf_scroll obj153_festive_decorations obj154_frayed_scroll obj201_purple_scroll obj206_slightly_crumpled_scroll obj226_vellum_scroll obj233_powerful_scroll obj235_damp_scroll obj245_faded_scroll
Attribute 11	attrib11		! obj3_bedpost obj76 obj133_fourposter_feather_bed
Attribute 12	attrib12		! obj6_map obj16_rainbow_turtle obj19_jug obj20_dusty_book obj44_adventurer obj76 obj88_pedestal obj93_oven obj108_rusty_gate obj114_niche obj118_lily_pad obj133_fourposter_feather_bed obj144_spell_book obj153_festive_decorations obj180_scrambled_egg obj210_rat_hole obj221_jewelled_box
Attribute 13	attrib13		! obj76 obj106_portraits_of_unknown_persons obj176_strong_box
Attribute 14	attrib14		! obj76 obj88_pedestal obj118_lily_pad obj133_fourposter_feather_bed
Attribute 15	attrib15		! obj5_bare_hands_of_a_novice_enchanter obj21_you obj76 obj79_random_object obj82_castle_wall obj144_spell_book obj168_stairs obj169_sacrificial_dagger obj198_ceiling
Attribute 16	attrib16		! obj55_cretin obj76 obj152_simple_wooden_door obj154_frayed_scroll obj167_Frobozz_portrait obj179_Flathead_portrait obj234_shredded_scroll obj235_damp_scroll obj242_adventurer
Attribute 17	attrib17		! obj35_Sacrificial_Altar obj76 obj105_Landing obj247_Junction
Attribute 18	attrib18		! obj6_map obj8_guncho_spell obj14_badly_worn_pencil obj20_dusty_book obj24_ornate_scroll obj25_scribbled_scroll obj36_stained_scroll obj40_kulcad_spell obj53_cleesh_spell obj59_frotz_spell obj60_filfre_spell obj71_brittle_scroll obj73_Legend_of_the_Great_Implementers obj78_izyuk_spell obj80_gnusto_spell obj81_gondar_spell obj84_nitfol_spell obj117_black_scroll obj134_gold_leaf_scroll obj141_exex_spell obj144_spell_book obj150_Legend_of_the_Unseen_Terror obj154_frayed_scroll obj155_melbor_spell obj158_zifmia_spell obj193_blorb_spell obj197_ozmoo_spell obj201_purple_scroll obj206_slightly_crumpled_scroll obj207_sign obj208_stone_wall obj215_vaxum_spell obj226_vellum_scroll obj233_powerful_scroll obj234_shredded_scroll obj235_damp_scroll obj238_rezrov_spell obj239_sign obj241_krebf_spell obj245_faded_scroll
Attribute 19	attrib19		! obj6_map obj14_badly_worn_pencil obj19_jug obj20_dusty_book obj24_ornate_scroll obj25_scribbled_scroll obj36_stained_scroll obj41_loaf_of_bread obj48_rainbow_turtle obj63_square_block_of_stone obj71_brittle_scroll obj94_battered_lantern obj107_worn_silver_spoon obj112_beautiful__ornamented_egg obj117_black_scroll obj134_gold_leaf_scroll obj144_spell_book obj154_frayed_scroll obj169_sacrificial_dagger obj170_lighted_portrait obj175_brass_lantern obj176_strong_box obj180_scrambled_egg obj182_quantity_of_water obj201_purple_scroll obj204_black_candle obj206_slightly_crumpled_scroll obj221_jewelled_box obj226_vellum_scroll obj233_powerful_scroll obj234_shredded_scroll obj235_damp_scroll obj245_faded_scroll
Attribute 20	attrib20		! obj16_rainbow_turtle obj30_tangle_of_rope obj44_adventurer obj48_rainbow_turtle obj50_warlock_Krill obj62_frog obj109_guards obj126_mirror obj128_spear obj131_iron_chain obj132_monster obj178_huddled_mass__yearning_to_drink_blood obj192_group_of_hairy_shapes obj230_guarded_door
Attribute 21	attrib21		! obj3_bedpost obj6_map obj16_rainbow_turtle obj19_jug obj20_dusty_book obj24_ornate_scroll obj25_scribbled_scroll obj36_stained_scroll obj44_adventurer obj71_brittle_scroll obj85_oven obj88_pedestal obj93_oven obj108_rusty_gate obj112_beautiful__ornamented_egg obj114_niche obj117_black_scroll obj118_lily_pad obj133_fourposter_feather_bed obj134_gold_leaf_scroll obj144_spell_book obj147_north_cell_door obj152_simple_wooden_door obj153_festive_decorations obj154_frayed_scroll obj176_strong_box obj180_scrambled_egg obj194_gate obj195_collection_of_chests_and_cabinets obj201_purple_scroll obj202_cell_door obj206_slightly_crumpled_scroll obj210_rat_hole obj221_jewelled_box obj226_vellum_scroll obj230_guarded_door obj233_powerful_scroll obj235_damp_scroll obj245_faded_scroll obj251_south_cell_door
Attribute 22	attrib22		! obj9_Mountain_Trail obj22_Courtyard obj32_Swamp obj42_Fork obj45_Long_Road obj49_Lonely_Mountain obj66_Courtyard obj89_Shady_Brook obj92_Beach obj95_Forest obj96_Trail obj101_Outside_Gate obj102_Trail_Head obj116_Courtyard obj140_Loop obj142_Courtyard obj143_Meadow obj162_Courtyard obj164_Bedroom obj173_Western_Road obj175_brass_lantern obj189_Eastern_Fork obj190_Courtyard obj196_Deserted_Village obj204_black_candle obj212_Dusty_Trail obj217_Courtyard obj219_Pebbled_Path obj227_Outside_of_Shack obj243_Inside_Gate obj244_Inside_Shack obj249_Village_Outskirts
Attribute 23	attrib23		! obj5_bare_hands_of_a_novice_enchanter obj107_worn_silver_spoon
Attribute 24	attrib24		! obj108_rusty_gate obj147_north_cell_door obj152_simple_wooden_door obj194_gate obj202_cell_door obj230_guarded_door obj232_iron_gate obj251_south_cell_door
Attribute 25	attrib25		! obj2_Dungeon obj9_Mountain_Trail obj22_Courtyard obj23_Map_Room obj27_Kitchen obj32_Swamp obj34_Translucent_Room obj35_Sacrificial_Altar obj42_Fork obj43_East_Hall obj45_Long_Road obj47_Winding_Stair obj49_Lonely_Mountain obj54_Cell obj56_Translucent_Room obj64_North_Gate obj65_Tower obj66_Courtyard obj70_Hall_of_Mirrors_Three obj76 obj77_West_Hall obj87_Cell obj89_Shady_Brook obj92_Beach obj95_Forest obj96_Trail obj99_Cell obj101_Outside_Gate obj102_Trail_Head obj103_Closet obj104_Translucent_Room obj105_Landing obj116_Courtyard obj119_Translucent_Room obj122_Temple obj123_Jewel_Room obj125_Hall_of_Mirrors_Two obj129_Gallery obj137_Banquet_Hall obj140_Loop obj142_Courtyard obj143_Meadow obj145_Engine_Room obj146_Library obj156_Warlock_s_Tower obj160_Winding_Stair obj161_Guarded_Door obj162_Courtyard obj163_Translucent_Room obj164_Bedroom obj171_Control_Room obj172_Hall_of_Mirrors_One obj173_Western_Road obj174_Translucent_Room obj189_Eastern_Fork obj190_Courtyard obj196_Deserted_Village obj209_Bottomless_Pit obj212_Dusty_Trail obj213_Secret_Passage obj216_Translucent_Room obj217_Courtyard obj219_Pebbled_Path obj225_Tower obj227_Outside_of_Shack obj229_Hall_of_Mirrors_Four obj231_Translucent_Room obj236_Tower obj240_Translucent_Room obj243_Inside_Gate obj244_Inside_Shack obj246_South_Gate obj247_Junction obj249_Village_Outskirts obj253_South_Hall
Attribute 26	attrib26		! obj127_tower obj168_stairs
Attribute 28	attrib28		! obj24_ornate_scroll obj25_scribbled_scroll obj36_stained_scroll obj71_brittle_scroll obj117_black_scroll obj134_gold_leaf_scroll obj154_frayed_scroll obj201_purple_scroll obj206_slightly_crumpled_scroll obj226_vellum_scroll obj233_powerful_scroll obj235_damp_scroll obj245_faded_scroll
Attribute 29	attrib29		! obj133_fourposter_feather_bed
Attribute 30	attrib30		! obj169_sacrificial_dagger obj222_sword
Attribute 31	attrib31		! obj11_Necromancer_Belboz obj16_rainbow_turtle obj21_you obj44_adventurer obj48_rainbow_turtle obj55_cretin obj62_frog obj167_Frobozz_portrait obj179_Flathead_portrait obj250_Entharion

Property 3	prop3:string
Property 4	prop4:?
Property 5	prop5:?
Property 6	prop6:?
Property 7	prop7:string
Property 8	prop8:?
Property 9	prop9:thing
Property 10	prop10:?
Property 11	prop11:?
Property 12	prop12:thing
Property 13	prop13:?
Property 14	prop14:string
Property 15	prop15:string
Property 16	prop16:thing
Property 17	prop17:?
Property 18	prop18:thing
Property 19	prop19:dictwords
Property 20	out_to:exit
Property 21	in_to:exit
Property 22	d_to:exit
Property 23	u_to:exit
Property 24	nw_to:exit
Property 25	w_to:exit
Property 26	sw_to:exit
Property 27	s_to:exit
Property 28	se_to:exit
Property 29	e_to:exit
Property 30	ne_to:exit
Property 31	n_to:exit

Global 0	global0:?
Global 1	global1:?
Global 2	global2:?
Global 3	global3:?
Global 4	global4:?
Global 5	global5:?
Global 6	global6:?
Global 7	global7:?
Global 8	global8:?
Global 9	global9:?
Global 10	global10:?
Global 11	global11:?
Global 12	global12:?
Global 13	global13:?
Global 14	global14:?
Global 15	global15:?
Global 16	global16:?
Global 17	global17:?
Global 18	global18:?
Global 19	global19:?
Global 20	global20:?
Global 21	global21:?
Global 22	global22:?
Global 23	global23:?
Global 24	global24:?
Global 25	global25:?
Global 26	global26:?
Global 27	global27:?
Global 28	global28:?
Global 29	global29:?
Global 30	global30:?
Global 31	global31:?
Global 32	global32:?
Global 33	global33:?
Global 34	global34:?
Global 35	global35:?
Global 36	global36:?
Global 37	global37:?
Global 38	global38:?
Global 39	global39:?
Global 40	global40:?
Global 41	global41:?
Global 42	global42:?
Global 43	global43:?
Global 44	global44:?
Global 45	global45:?
Global 46	global46:?
Global 47	global47:?
Global 48	global48:?
Global 49	global49:?
Global 50	global50:?
Global 51	global51:?
Global 52	global52:?
Global 53	global53:?
Global 54	global54:?
Global 55	global55:?
Global 56	global56:?
Global 57	global57:?
Global 58	global58:?
Global 59	global59:?
Global 60	global60:?
Global 61	global61:?
Global 62	global62:?
Global 63	global63:?
Global 64	global64:?
Global 65	global65:?
Global 66	global66:?
Global 67	global67:?
Global 68	global68:?
Global 69	global69:?
Global 70	global70:?
Global 71	global71:?
Global 72	global72:?
Global 73	global73:?
Global 74	global74:?
Global 75	global75:?
Global 76	global76:?
Global 77	global77:?
Global 78	global78:?
Global 79	global79:?
Global 80	global80:?
Global 81	global81:?
Global 82	global82:?
Global 83	global83:?
Global 84	global84:?
Global 85	global85:?
Global 86	global86:?
Global 87	global87:?
Global 88	global88:?
Global 89	global89:?
Global 90	global90:?
Global 91	global91:?
Global 92	global92:?
Global 93	global93:?
Global 94	global94:?
Global 95	global95:?
Global 96	global96:?
Global 97	global97:?
Global 98	global98:?
Global 99	global99:?
Global 100	global100:?
Global 101	global101:?
Global 102	global102:?
Global 103	global103:?
Global 104	global104:?
Global 105	global105:?
Global 106	global106:?
Global 107	global107:?
Global 108	global108:?
Global 109	global109:?
Global 110	global110:?
Global 111	global111:?
Global 112	global112:?
Global 113	global113:?
Global 114	global114:?
Global 115	global115:?
Global 116	global116:?
Global 117	global117:?
Global 118	global118:?
Global 119	global119:?
Global 120	global120:?
Global 121	global121:?
Global 122	global122:?
Global 123	global123:?
Global 124	global124:?
Global 125	global125:?
Global 126	global126:?
Global 127	global127:?
Global 128	global128:?
Global 129	global129:?
Global 130	global130:?
Global 131	global131:?
Global 132	global132:?
Global 133	global133:?
Global 134	global134:?
Global 135	global135:?
Global 136	global136:?
Global 137	global137:?
Global 138	global138:?
Global 139	global139:?
Global 140	global140:?
Global 141	global141:?
Global 142	global142:?
Global 143	global143:?
Global 144	global144:?
Global 145	global145:?
Global 146	global146:?
Global 147	global147:?
Global 148	global148:?
Global 149	global149:?
Global 150	global150:?
Global 151	global151:?
Global 152	global152:?
Global 153	global153:?
Global 154	global154:?
Global 155	global155:?
Global 156	global156:?
Global 157	global157:?
Global 158	global158:?
Global 159	global159:?
Global 160	global160:?
Global 161	global161:?
Global 162	global162:?
Global 163	global163:?
Global 164	global164:?
Global 165	global165:?
Global 166	global166:?
Global 167	global167:?
Global 168	global168:?
Global 169	global169:?
Global 170	global170:?
Global 171	global171:?
Global 172	global172:?
Global 173	global173:?
Global 174	global174:?
Global 175	global175:?
Global 176	global176:?
Global 177	global177:?
Global 178	global178:?
Global 179	global179:?
Global 180	global180:?
Global 181	global181:?
Global 182	global182:?
Global 183	global183:?
Global 184	global184:?
Global 185	global185:?
Global 186	global186:?
Global 187	global187:?
Global 188	global188:?
Global 189	global189:?
Global 190	global190:?
Global 191	global191:?
Global 192	global192:?
Global 193	global193:?
Global 194	global194:?
Global 195	global195:?
Global 196	global196:?
Global 197	global197:?
Global 198	global198:?
Global 199	global199:?
Global 200	global200:?
Global 201	global201:?
Global 202	global202:?
Global 203	global203:?
Global 204	global204:?
Global 205	global205:?
Global 206	global206:?
Global 207	global207:?
Global 208	global208:?
Global 209	global209:?
Global 210	global210:?
Global 211	global211:?
Global 212	global212:?
Global 213	global213:?
Global 214	global214:?
Global 215	global215:?
Global 216	global216:?
Global 217	global217:?
Global 218	global218:?
Global 219	global219:?
Global 220	global220:?
Global 221	global221:?
Global 222	global222:?
Global 223	global223:?
Global 224	global224:?
Global 225	global225:?
Global 226	global226:?
Global 227	global227:?
Global 228	global228:?
Global 229	global229:?
Global 230	global230:?
Global 231	global231:?
Global 232	global232:?
Global 233	global233:?
Global 234	global234:?
Global 235	global235:?
Global 236	global236:?
Global 237	global237:?
Global 238	global238:?
Global 239	global239:?

Action 0	Action0		! 'brief'
Action 1	Action1		! 'super'/'superb'
Action 2	Action2		! 'diagno'
Action 3	Action3		! 'i//'/'invent'
Action 4	Action4		! 'q//'/'quit'
Action 5	Action5		! 'restar'
Action 6	Action6		! 'restor'
Action 7	Action7		! 'save'
Action 8	Action8		! 'score'
Action 9	Action9		! '$ve' object
				! '$ve'
Action 10	Action10	! 'versio'
Action 11	Action11	! 'verbos'
Action 12	Action12	! 'again'/'g//'
Action 13	Action13	! 'answer'/'reply'
Action 14	Action14	! 'answer'/'reply' object
Action 15	Action15	! 'squeez' object 'onto'/'on' object
				! 'drop'/'exit'/'releas' object(held,many,have) 'onto'/'on' object
				! 'drop'/'exit'/'releas' object(held,many,have) 'into'/'inside'/'in' object
				! 'drop'/'exit'/'releas' object(held,many,have) 'down'/'d//' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'onto'/'on' object
				! 'chuck'/'hurl'/'throw'/'toss' object(held,carried,have) 'into'/'inside'/'in' object
				! 'apply' object 'to' object
				! 'insert'/'lay'/'place'/'put'/'stuff' object(held,many,have) 'into'/'inside'/'in' object
Action 16	Action16	! 'strike' attrib20(in_room,on_ground)
				! 'strike' attrib20(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib30(held,carried,in_room,on_ground,have)
				! 'attack'/'fight'/'hit'/'hurt'/'injure' attrib31(in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib30(held,carried,have)
				! 'attack'/'fight'/'hit'/'hurt'/'injure' attrib31(in_room,on_ground)
				! 'knock'/'rap' 'down'/'d//' attrib20(in_room,on_ground)
Action 17	Action17	! 'back'
Action 18	Action18	! 'climb'/'scale'/'sit' 'into'/'inside'/'in' attrib29(in_room,on_ground)
				! 'nap'/'sleep'/'snooze' 'onto'/'on' object(in_room,on_ground)
				! 'nap'/'sleep'/'snooze' 'into'/'inside'/'in' object(in_room,on_ground)
				! 'board' attrib29(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'into'/'inside'/'in' attrib29(in_room,on_ground)
Action 19	Action19	! 'burn'/'ignite' 'down'/'d//' attrib28(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib27(held,carried,in_room,on_ground,have)
				! 'burn'/'ignite' attrib28(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib27(held,carried,in_room,on_ground,have)
				! 'light' attrib22(held,carried,in_room,on_ground) 'with'/'using'/'thru'/'throug' attrib27(held,carried,have)
Action 20	Action20	! 'climb'/'scale'/'sit' 'onto'/'on' attrib29(in_room,on_ground)
				! 'carry'/'get'/'grab'/'hold'/'remove'/'take' 'onto'/'on' attrib29(in_room,on_ground)
Action 21	Action21	! 'climb'/'scale'/'sit' 'up'/'u//' attrib26(in_room,on_ground)
				! 'go'/'procee'/'run'/'step'/'walk' 'up'/'u//' attrib26(in_room,on_ground)
